"","ERR475467","ERR475468","ERR475469","ERR475470","ERR475471","ERR475472","ERR475473","ERR475474","ERR475475","ERR475476","ERR475477","ERR475478","ERR475479","ERR475480","ERR475481","ERR475482","ERR475483","ERR475484","ERR475485","ERR475486","ERR475487","ERR475488","ERR475489","ERR475490","ERR475491","ERR475492","ERR475493","ERR475494","ERR475495","ERR475496","ERR475497","ERR475498","ERR475499","ERR475500","ERR475501","ERR475502","ERR475503","ERR475504","ERR475505","ERR475506","ERR475507","ERR475508","ERR475509","ERR475510","ERR475511","ERR475512","ERR475513","ERR475514","ERR475515","ERR475516","ERR475517","ERR475518","ERR475519","ERR475520","ERR475521","ERR475522","ERR475523","ERR475524","ERR475525","ERR475526","ERR475527","ERR475528","ERR475529","ERR475530","ERR475531","ERR475532","ERR475533","ERR475534","ERR475535","ERR475536","ERR475537","ERR475538","ERR475539","ERR475540","ERR475541","ERR475542","ERR475543","ERR475544","ERR475545","ERR475546","ERR475547","ERR475548","ERR475549","ERR475550","ERR475551","ERR475552","ERR475553","ERR475554","ERR475555","ERR475556","ERR475557","ERR475558","ERR475559","ERR475560","ERR475561","ERR475562","ERR475563","ERR475564","ERR475565","ERR475566","ERR475567","ERR475568","ERR475569","ERR475570","ERR475571","ERR475572","ERR475573","ERR475574","ERR475575","ERR475576","ERR475577","ERR475578","ERR475579","ERR475580","ERR475581","ERR475582","ERR475583","ERR475584","ERR475585","ERR475586","ERR475587","ERR475588","ERR475589","ERR475590","ERR475591","ERR475592","ERR475593","ERR475594","ERR475595"
"Victivallaceae_Victivallis",0,0,64,0,0,0,0,22,0,0,0,22,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,15,0,0,12,595,0,0,81,268,0,0,0,0,140,0,0,0,0,100,0,0,0,0,0,5,0,6,0,0,94,23,115,43,0,0,212,0,16,57,0,0,0,353,0,0,0,21,0,18,83,0,0,537,101,0,0,0,0,0,0,0,68,23,0,0,0,0,0,5,0,0,9,0,350,53,150,0,0,43,0,3,0,0,31,0,0,13,0,0,0,116,0,0,0,0,0,66,41,53,0,0
"Synergistaceae_Synergistes",0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae_Latilactobacillus",0,23,0,0,0,0,0,0,0,34,0,0,0,0,0,7,0,0,0,0,0,0,33,0,0,0,0,13,0,0,0,0,0,9,0,126,105,894,5,0,13,0,0,0,0,129,73,34,0,53,0,9,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,17,0,0,0,0,0,0,82,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,13,0,0,0,29,0,0,0,280,0,0,0,0,39,0,0,0,0,0,0
"Erysipelotrichaceae_Solobacterium",0,0,0,43,0,0,0,0,0,0,0,2,0,0,0,22,0,0,272,0,3,0,0,0,0,0,0,5,0,0,10,5,364,0,0,0,9,9,0,0,16,0,48,0,8,0,0,0,0,3,96,11,1264,0,7,0,0,0,0,0,30,0,0,5,49,0,0,12,546,0,22,17,15,0,0,8,6,5,0,0,31,0,13,37,12,0,0,0,0,0,20,11,9,0,0,0,8,0,5,5,0,377,73,11,5,4,0,0,7,0,0,0,11,0,0,83,0,0,11,6,4,0,6,0,0,0,0,9,129
"Butyricicoccaceae_UCG.009",0,14,25,8,18,19,12,37,21,0,0,163,11,0,0,0,6,0,0,0,0,0,0,93,0,0,30,31,6,40,0,0,86,8,0,0,229,121,244,0,13,178,71,0,0,31,200,214,62,121,0,0,0,0,90,159,0,0,66,4,27,13,0,73,190,28,0,0,74,149,15,77,0,0,0,0,74,0,143,0,29,43,0,83,0,0,0,0,0,0,21,11,23,0,41,0,53,0,0,71,0,4,104,185,0,0,14,0,0,0,113,126,0,9,24,319,43,31,35,264,0,0,40,0,0,60,63,0,0
"Actinomycetaceae_Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,6,0,17,47,0,14,0,6,0,4,0,0,0,14,21,0,23,0,82,45,23,5,0,5,0,0,0,7,24,25,48,52,37,61,0,85,0,23,0,8,24,0,14,0,0,0,0,0,0,0,10,0,0,0,13,0,0,0,57,0,22,0,25,0,0,14,8,161,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,47,11,10,160,20,19,58,22,27,0,0,8,0,0,0,0,20,19,136,0,292,0,172,7,57,136,110
"Erysipelatoclostridiaceae_Coprobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,107,0,0,0,0,0,0,62,13,0,0,12,0,0,0,0,0,0,0,0,0,29,0,58,0,21,9,0,0,0,0,4,165,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,3,0,0,0,0,0,252,0,0,0,0,0,0,0,134,0,0,0,9,0,0,23,0,0,6,0,0,0,29,0,0,16,0,44,0,0,589,36,0,0,45,0,10
"Anaerovoracaceae_.Eubacterium..nodatum.group",0,11,0,8,0,0,0,0,0,0,2,13,10,0,7,30,0,0,0,0,0,7,0,0,3,0,0,0,0,3,0,0,0,36,0,0,53,1371,193,248,17,14,0,0,19,0,10,0,15,24,127,14,17,0,0,0,12,48,9,10,19,0,53,16,43,0,0,0,6,0,0,20,0,49,0,30,0,24,0,0,5,0,19,21,54,19,0,0,41,0,171,7,23,137,0,0,8,0,9,22,37,8,52,31,0,54,0,0,0,115,225,0,0,182,0,24,0,13,0,0,0,0,16,0,68,0,0,0,0
"Christensenellaceae_Christensenella",0,0,19,0,0,0,0,0,0,4,0,8,0,0,0,19,12,0,0,8,4,0,0,0,0,0,0,0,0,0,0,9,0,22,10,8,0,44,16,337,8,0,216,0,9,17,28,0,0,0,0,0,25,66,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,33,43,0,38,45,0,51,0,176,0,15,51,0,0,16,0,0,0,0,7,0,26,13,57,96,47,0,18,0,10,9,0,0,0,49,75,50,15,48,13,0,43,0,0,0,13,17,0,0,0,158,0,314,0,17,0,30,0,2,0
"Defluviitaleaceae_Defluviitaleaceae.UCG.011",0,44,19,0,86,31,33,22,62,0,5,122,4,41,16,0,85,7,0,7,54,0,38,12,0,5,83,52,50,30,0,50,0,66,0,20,323,85,207,0,143,394,0,0,217,16,163,76,6,19,0,17,35,0,145,0,0,438,148,212,32,64,0,110,0,121,14,184,151,217,137,14,0,0,63,4,20,33,22,32,43,12,6,59,0,66,4,23,132,67,65,43,0,94,36,0,137,0,23,256,0,0,7,415,45,79,59,147,91,0,109,0,0,21,9,255,21,31,36,0,0,0,36,11,37,16,55,0,6
"Lachnospiraceae_Oribacterium",0,0,0,0,0,0,0,0,11,0,0,0,93,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,361,0,0,0,24,0,253,0,0,24,65,0,0,0,0,0,0,0,230,0,83,0,50,0,0,0,0,9,0,0,64,0,27,0,0,0,13,0,0,76,18,0,103,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,35,0,0,0,0,8,0,573,12,0,0,0,24,0,53,0,0,0
"Atopobiaceae_Olsenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,5,0,10,46,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6,0,497,0,0,0,0,0,0,0,0,0,0,0,0,88,0,13,13,0,0,0,0,0,0,0,0,101,0,0,0,0,0,5,0,9,0,6,0,0,3,0,0,0,152,0,0,166,0,0,0,0,0,0
"Oscillospiraceae_UCG.007",0,0,0,27,27,0,0,0,0,0,34,142,0,0,22,9,16,0,0,0,0,0,0,17,0,0,0,16,0,22,0,20,0,8,0,46,43,231,0,0,83,1017,136,0,0,0,39,40,59,29,0,0,0,0,12,0,0,0,50,0,0,37,0,0,0,0,0,27,0,77,0,0,0,0,0,0,0,11,20,0,0,40,0,0,0,0,0,0,0,21,65,0,0,19,19,0,0,0,0,0,0,0,35,0,0,0,0,0,21,0,65,43,0,0,0,88,0,13,0,44,0,0,33,0,0,0,0,0,0
"Oxalobacteraceae_Oxalobacter",0,104,10,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,26,0,21,0,31,140,0,0,0,0,0,84,0,19,0,0,0,0,0,0,0,0,0,36,0,0,0,0,8,18,65,0,65,0,0,26,0,0,35,49,0,0,37,37,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,35,9,0,0,0,0,6,0,0,0,0,0,17,0,0,0,30,23,0,0,16,8,0,0,24,66,0,33,83,0,0,0,0,0,0,10,30,0,6
"Ruminococcaceae_Anaerofilum",0,0,0,0,0,0,0,0,13,4,0,32,0,0,9,0,0,0,0,0,0,0,17,9,0,0,0,16,0,12,0,24,285,0,0,10,50,93,86,0,27,11,56,0,114,6,51,0,32,43,0,0,15,0,112,5,0,0,12,13,11,7,0,11,0,23,6,27,0,39,11,18,0,13,0,0,0,29,37,0,0,16,4,0,0,0,0,0,5,4,18,0,0,14,56,0,0,0,0,28,0,0,62,28,0,0,25,15,5,0,20,66,9,0,15,104,0,11,9,0,9,0,0,22,17,0,15,0,13
"Anaerofustaceae_Anaerofustis",0,2,0,0,0,0,0,0,0,12,0,22,0,20,0,3,0,0,0,44,0,0,15,5,7,0,0,0,0,32,0,27,171,8,0,23,118,36,9,6,0,133,78,0,0,0,0,0,0,0,0,12,23,0,0,9,0,73,9,25,30,0,0,27,50,0,16,7,34,32,47,0,0,9,0,62,0,0,38,0,0,32,0,18,0,0,41,0,0,13,151,27,13,48,22,0,19,16,33,0,0,0,38,57,174,129,10,119,29,2,0,28,0,22,0,0,0,0,0,5,8,0,28,15,14,0,16,0,0
"Erysipelotrichaceae_Holdemania",0,23,36,0,0,3,0,8,38,0,0,9,3,0,7,0,0,0,0,0,3,0,14,5,0,0,22,2,0,6,8,29,7,0,0,6,36,78,32,0,51,24,72,5,149,0,75,0,26,6,0,8,17,20,46,0,0,0,20,0,8,6,0,59,6,17,173,45,0,49,17,22,28,0,7,19,0,16,10,88,21,5,17,18,0,0,0,0,59,0,6,3,13,13,17,27,29,0,0,21,78,0,17,90,12,0,8,67,5,0,78,0,18,12,5,5,12,4,22,43,8,0,0,0,59,15,11,77,0
"Erysipelotrichaceae_Erysipelotrichaceae.UCG.006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,100,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,4,0,0,0,80,0,0,0,0,0,0,0,0,0,64
"Ruminococcaceae_Paludicola",0,19,89,0,0,54,0,13,0,0,61,6,0,0,5,0,0,7,0,0,0,10,8,8,0,0,0,0,79,0,0,107,65,0,0,0,158,77,81,0,190,80,248,0,9,12,51,37,30,0,0,0,3,0,0,45,0,0,187,100,44,0,0,44,0,0,9,55,0,83,0,25,0,77,0,24,63,0,0,60,142,0,0,15,0,15,0,0,0,0,32,0,0,14,0,0,11,0,0,14,0,16,23,85,0,0,0,61,40,0,117,9,0,0,0,190,83,31,37,6,0,0,29,0,19,39,46,19,0
"Erysipelotrichaceae_Faecalitalea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,735,0,54,0,0,75,0,0,0,0,0,0,27,90,0,0,0,0,0,0,9,0,0,0,0,0,130,0,0,0,0,0,0,76,0,0,0,0,47,0,0,177,0,0,0,0,20,0,206,0,0,102,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,75,0,53,0,0,0,0,0,37,0,0,0,127,0,0,0,51,0,0,0,0,0
"Lachnospiraceae_Catenibacillus",0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,14,32,0,27,0,0,0,0,64,108,0,0,0,13,112,0,118,0,0,0,0,0,27,25,19,0,24,0,0,290,0,13,0,0,67,7,18,0,0,0,0,50,76,52,0,0,0,0,0,0,0,0,0,0,0,34,0,0,36,12,0,0,124,0,0,35,25,61,17,0,0,0,290,0,21,0,48,0,40,0,9,16,0,11,0,0,17,0,0,9,4,45,30,0,0,31,0,0,0,0,0
"Erysipelotrichaceae_Dielma",0,8,6,0,0,0,0,0,15,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,191,0,145,13,0,0,9,0,0,23,41,0,5,0,0,0,0,0,0,8,177,0,0,18,0,0,0,0,0,14,0,0,45,0,0,25,0,0,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,21,0,13,0,0,0,0,65,0,27,0,0,18,19,0,0,0,139,0,0,0,0,23,0,0,0,0,0,0,0,0,74,0,11,12,0
"Coriobacteriales.Incertae.Sedis_Raoultibacter",0,0,8,0,0,0,0,8,0,0,0,0,0,3,3,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,30,0,10,146,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,7,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0
"Ethanoligenenaceae_Acetanaerobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,377,0,0,0,0,12,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,74,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelotrichaceae_Merdibacter",0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,6,0,0,13,0,0,0,0,5,27,0,0,0,141,0,5,28,57,0,153,7,0,7,0,0,0,14,0,0,0,0,0,144,0,5,0,0,0,16,0,0,0,0,0,47,5,0,0,8,9,7,0,0,0,0,0,0,0,29,0,0,3,3,0,0,0,0,0,3,0,0,4,8,51,0,0,16,0,0,24,0,0,0,0,0,13,13,0,0,0,0,17,0,0,0,0,0,0,0,0,7,0,26,0,0,0,0,0,0
"Lactobacillaceae_Weissella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,8,0,7,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,71,0,0,0,58,0,0,0,25,0,0,0,0,0,0,158,27,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Shuttleworthia",0,13,0,0,0,0,0,8,0,0,0,8,0,10,0,201,22,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,79,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,20,0,0,0,0,0,0,0,0,114,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,0,0,0,112,0,0,0,0,0,0,0,0,0,0,39,0,0,12,21,0,13,0,0,0,28,0,0,0,0,0,0,131,0,0,34,50,0,0
"Hungateiclostridiaceae_Ruminiclostridium",0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,17,0,0,0,0,32,261,0,0,0,0,148,0,14,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,71,72,0,0,43,0,0,0,0,0,104,0,0,34,43,0,0,0,0,0,103,0,12,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_Harryflintia",0,0,14,0,0,5,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,12,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0
"Lachnospiraceae_Anaerostignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,6,52,0,0,0,0,0,0,0,0,0,186,0,0,39,0,0,0,46,0,0,0,0,0,12,0,0,0,0,0,54,0,0,0,0,62,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
"Micrococcaceae_Rothia",0,8,0,2,0,3,0,0,0,0,28,6,8,0,0,10,0,0,13,0,0,0,0,0,0,16,11,0,8,0,13,35,0,0,0,0,0,9,0,0,14,0,16,0,11,13,0,5,15,6,45,0,0,0,16,2,0,0,0,9,0,0,70,0,0,0,0,8,12,0,0,16,9,0,0,14,0,32,0,54,0,0,0,0,18,0,5,0,0,0,0,0,4,0,0,0,43,19,0,0,0,0,0,0,0,0,12,194,197,3,0,7,0,9,6,0,3,13,90,0,183,0,0,30,0,0,0,0,82
"Marinifilaceae_Sanguibacteroides",0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,4,41,11,0,0,0,83,5,0,0,0,0,0,0,24,0,0,157,15,17,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,17,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,59,0,9,0,0,62,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae_Lactiplantibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,27,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
"Ruminococcaceae_Phocea",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,27,0,0,0,28,0,35,28,0,27,0,21,13,46,0,31,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,15,0,0,0,0,32,0,0,0,0,0,0,0,0,0
"Atopobiaceae_Atopobium",0,0,6,0,0,0,0,0,0,0,0,0,16,0,0,9,5,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,7,0,0,11,8,0,0,5,0,0,0,0,0,0,0,11,0,17,0,116,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,10,0,6,24,4,0,0,0,0,0,0,20,0,0,11,9,0,0,6,0,2,0,0,4,20,0,0,65,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,9,0,0,0,5
"Anaerovoracaceae_S5.A14a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,15,0,0,104,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,19,0,0,0,0,0,11,0,0,38,0,0,0,0,0,0,0,0,0,0
"Butyricicoccaceae_UCG.008",3,16,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,21,148,0,0,0,0,9,0,0,0,0,43,14,0,0,0,0,0,0,24,0,0,0,27,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,23,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"Synergistaceae_Pyramidobacter",0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,14,5,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_Candidatus.Soleaferrea",0,0,0,14,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,25,0,27,28,0,0,49,23,0,0,0,0,0,109,0,7,12,9,0,0,30,0,0,0,0,0,0,0,0,0,7,9,12,0,0,0,0,0,21,0,0,18,15,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,4,8,0,5,0,0,0,0,0,6,8,0,0,0,0,20,0,12,0,0,0,7,47,0,0,0,0,0,0,0,0,0,0,14,19,0
"Lachnospiraceae_Cuneatibacter",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,20,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacteriaceae_Raoultella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiaceae_Clostridium.sensu.stricto.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthellaceae_Gordonibacter",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,7,0,0,0,42,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0
"Campylobacteraceae_Campylobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,89,0,0,0,0,0,0,3,8,0,0
"Pasteurellaceae_Aggregatibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0
"Eggerthellaceae_Senegalimassilia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,10
"Rikenellaceae_Rikenella",0,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,5,7,0,10,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,24,0,0,20,0,0,0,0,0,0,0,0,0,0
