"","ERR3446848","ERR3446849","ERR3446850","ERR3446851","ERR3446852","ERR3446853","ERR3446854","ERR3446855","ERR3446856","ERR3446857","ERR3446858","ERR3446859","ERR3446860","ERR3446861","ERR3446862","ERR3446863","ERR3446864","ERR3446865","ERR3446866","ERR3446867","ERR3446868","ERR3446869","ERR3446870","ERR3446871"
"Lactobacillaceae_Latilactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"Butyricicoccaceae_UCG.009",7,0,0,0,0,5,18,0,0,0,5,2,0,0,0,0,0,0,0,0,10,0,0,0
"Anaerofustaceae_Anaerofustis",0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Frisingicoccus",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Christensenellaceae_Christensenella",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0
"Defluviitaleaceae_Defluviitaleaceae.UCG.011",0,2,0,0,0,0,12,0,0,0,0,0,0,8,0,9,0,0,8,0,0,0,3,0
"Ruminococcaceae_DTU089",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,12,0
"Victivallaceae_Victivallis",0,19,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccaceae_UCG.008",0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae_Limosilactobacillus",0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,11,14,5,0,0,0,0,0,0
"Acidaminococcaceae_Acidaminococcus",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Oribacterium",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_Harryflintia",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0
"Lachnospiraceae_.Bacteroides..pectinophilus.group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"Acholeplasmataceae_Anaeroplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Lachnospiraceae_GCA.900066575",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharimonadaceae_TM7x",0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0
"Enterococcaceae_Enterococcus",0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
